id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5516701815",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0127213,53.5794699
"node/5516732237",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0095754,53.5811957
"node/5516742931",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0051514,53.580594
"node/5516821855",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0274896,53.5778577
"node/5518740069",null,null,null,null,"2",null,null,null,"entega",null,null,null,8.6479089,49.9322081
"node/5519285725",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5668608,48.137958
"node/5519285726",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5669959,48.1379353
"node/5519285731",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5714658,48.1403905
"node/5519285732",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5713337,48.1404201
"node/5519285737",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.580994,48.1388455
"node/5519285738",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5808594,48.1388696
"node/5519426744",null,null,null,null,null,null,null,null,"Spreewald Energy GmbH",null,null,null,14.1404074,51.8370968
"node/5520798139",null,null,null,null,null,null,null,null,"esb Blumberg",null,null,null,8.4492066,47.9283298
"node/5520901815",null,null,null,null,"2",null,null,null,"EWS",null,"1","43kW",10.3065473,53.9377931
"node/5520903678",null,null,null,null,null,null,null,null,null,null,null,null,9.8573867,54.1701771
"node/5522652248","Donautal West",null,null,null,"2",null,null,null,null,null,null,null,13.3656215,48.5890743
"node/5522872712",null,null,null,null,"2","yes",null,null,"Stadtwerke Ludwigsburg-Kornwestheim GmbH","2","2",null,9.2078452,48.8932653
"node/5523677817",null,null,null,null,"2","no",null,"24/7","Stadtwerke Düsseldorf","2","2",null,6.7437252,51.2749455
"node/5526069146",null,null,null,"yes","2","yes",null,"24/7",null,null,"1","43",8.2503272,51.3544472
"node/5527142302","eins Energie in Sachsen",null,null,null,"2",null,null,null,null,null,null,null,12.9218395,50.8056513
"node/5528095766",null,null,null,null,"2",null,null,null,null,null,"2",null,10.4928851,49.8473664
"node/5528195210",null,null,null,null,"3","no",null,null,"Kaufland",null,"1","43 kW",8.5257869,48.030442
"node/5528412002",null,"230","16",null,"4","no",null,"24/7",null,"1",null,null,9.9471465,49.652558
"node/5528908178",null,null,null,null,null,null,null,null,null,null,null,null,13.346428,52.4825326
"node/5529033179",null,"400",null,null,null,null,null,null,null,null,"1","20kW",13.556968,52.3670139
"node/5529034680",null,"400",null,null,null,null,null,null,null,null,"1","20kW",13.5570521,52.3669827
"node/5529035365",null,"400",null,null,null,null,null,null,null,null,"1","20kW",13.5571404,52.36695
"node/5529376104",null,null,"32",null,"4",null,null,null,"Tesla Vehicles",null,null,null,12.9772407,52.5423026
"node/5529400260",null,null,null,null,"2",null,null,null,"TheNewMotion",null,"2",null,12.9400009,52.5475051
"node/5530391593",null,null,null,null,"2",null,null,null,"Siemens AG",null,null,null,11.0755096,49.4369251
"node/5530391755",null,null,null,null,null,null,null,null,null,null,null,null,8.9478123,48.808127
"node/5530617796",null,null,null,null,"3","no",null,null,"Gemeinde Geiselbach","1",null,null,9.1998754,50.1221456
"node/5530623837",null,null,null,null,"2",null,null,null,"Infra",null,null,null,11.0005738,49.4796812
"node/5530637389",null,null,null,null,"3","no",null,null,"Markt Schöllkrippen","1",null,null,9.2164939,50.1082171
"node/5530640512",null,null,null,null,"2",null,null,null,"innogy",null,null,null,7.3335915,51.5027974
"node/5530676183",null,null,null,null,"2",null,null,null,"innogy",null,null,null,7.3334101,51.4995113
